"AGED -- 2009 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) "
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  
PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED

CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
01000,ALABAMA                  ,AUTAUGA                ,"4,125","15,537,187",313.88,"13,755,256",277.88,"247,822","1,462,640","71,468","3,814","15,010,384",327.97,0.904
01010,ALABAMA                  ,BALDWIN                ,"21,461","66,459,254",258.06,"63,233,012",245.53,"502,618","2,546,379","177,243","20,288","85,617,778",351.68,0.920
01020,ALABAMA                  ,BARBOUR                ,"2,769","11,279,998",339.47,"10,460,546",314.81,"64,293","733,581","21,576","2,668","10,778,350",336.66,0.977
01030,ALABAMA                  ,BIBB                   ,"1,848","8,053,699",363.17,"7,237,269",326.36,"152,444","602,883","61,102","1,769","7,435,199",350.25,1.030
01040,ALABAMA                  ,BLOUNT                 ,"3,827","16,205,906",352.89,"15,168,678",330.30,"254,281","622,885","160,061","3,588","15,043,734",349.40,0.927
01050,ALABAMA                  ,BULLOCK                ,871,"4,286,501",410.11,"3,808,350",364.37,"52,968","409,537","15,645",824,"2,709,909",274.06,0.968
01060,ALABAMA                  ,BUTLER                 ,"2,608","13,970,870",446.41,"12,447,082",397.72,"131,929","1,345,008","46,850","2,526","11,174,342",368.64,1.030
01070,ALABAMA                  ,CALHOUN                ,"15,614","72,908,127",389.12,"67,154,488",358.41,"748,496","4,674,514","330,628","14,692","62,186,670",352.72,1.018
01080,ALABAMA                  ,CHAMBERS               ,"4,682","18,730,724",333.38,"16,808,272",299.16,"125,087","1,756,374","40,990","4,535","15,739,671",289.23,1.010
01090,ALABAMA                  ,CHEROKEE               ,"3,077","13,462,174",364.59,"12,619,298",341.76,"84,840","714,932","43,102","2,968","11,414,634",320.49,0.952
01100,ALABAMA                  ,CHILTON                ,"3,141","14,329,712",380.18,"13,113,423",347.91,"200,530","923,358","92,399","2,987","13,605,302",379.57,0.987
01110,ALABAMA                  ,CHOCTAW                ,"2,001","7,321,260",304.90,"6,740,555",280.72,"16,572","553,731","10,400","1,978","7,251,976",305.53,0.903
01120,ALABAMA                  ,CLARKE                 ,"3,612","14,402,790",332.29,"13,362,191",308.28,"101,338","871,343","67,916","3,487","13,212,753",315.76,0.907
01130,ALABAMA                  ,CLAY                   ,"1,980","9,701,560",408.31,"8,981,787",378.02,"131,415","502,500","85,856","1,912","7,771,307",338.71,0.997
01140,ALABAMA                  ,CLEBURNE               ,"1,903","8,042,953",352.20,"7,405,332",324.28,"86,057","518,555","33,008","1,838","7,052,461",319.75,0.953
01150,ALABAMA                  ,COFFEE                 ,"5,976","21,712,032",302.77,"20,036,112",279.40,"89,581","1,540,993","45,345","5,767","21,241,067",306.93,0.961
01160,ALABAMA                  ,COLBERT                ,"8,006","29,430,620",306.34,"27,181,282",282.93,"202,040","1,972,699","74,598","7,777","34,380,404",368.40,0.998
01170,ALABAMA                  ,CONECUH                ,"1,786","8,571,441",399.94,"7,902,338",368.72,"25,341","627,151","16,610","1,724","7,176,650",346.90,0.973
01180,ALABAMA                  ,COOSA                  ,"1,394","5,908,042",353.18,"5,344,835",319.51,"58,008","475,511","29,687","1,336","5,961,299",371.84,0.967
01190,ALABAMA                  ,COVINGTON              ,"6,133","27,559,587",374.47,"25,112,979",341.23,"205,869","2,183,501","57,236","5,941","24,625,760",345.42,0.997
01200,ALABAMA                  ,CRENSHAW               ,"1,793","7,853,301",365.00,"6,929,506",322.06,"80,871","818,948","23,975","1,728","6,411,576",309.20,0.933
01210,ALABAMA                  ,CULLMAN                ,"10,398","39,197,220",314.14,"36,217,522",290.26,"545,310","2,211,220","223,167","9,945","42,450,875",355.71,1.048
01220,ALABAMA                  ,DALE                   ,"7,292","29,304,914",334.90,"27,192,786",310.76,"144,307","1,908,387","59,433","7,054","27,514,583",325.05,0.955
01230,ALABAMA                  ,DALLAS                 ,"5,258","27,417,026",434.53,"22,356,978",354.33,"611,975","4,169,001","279,070","5,102","20,033,576",327.22,1.025
01240,ALABAMA                  ,DEKALB                 ,"7,984","32,559,553",339.84,"30,136,399",314.55,"240,229","2,054,690","128,233","7,651","28,874,725",314.50,0.960
01250,ALABAMA                  ,ELMORE                 ,"6,842","26,714,812",325.38,"23,642,652",287.96,"319,262","2,653,173","99,723","6,358","25,818,977",338.41,0.924
01260,ALABAMA                  ,ESCAMBIA               ,"4,930","21,593,803",365.01,"20,053,543",338.97,"145,245","1,357,452","37,561","4,752","21,776,990",381.89,0.991
01270,ALABAMA                  ,ETOWAH                 ,"13,073","65,177,382",415.47,"61,437,471",391.63,"385,046","3,173,253","181,610","12,590","52,911,831",350.22,1.015
01280,ALABAMA                  ,FAYETTE                ,"2,161","8,515,435",328.38,"7,644,750",294.80,"130,155","693,918","46,612","2,067","7,521,036",303.22,0.960
01290,ALABAMA                  ,FRANKLIN               ,"4,452","18,425,872",344.90,"17,035,001",318.86,"106,558","1,239,573","44,738","4,294","18,315,572",355.45,0.998
01300,ALABAMA                  ,GENEVA                 ,"4,023","16,623,268",344.34,"15,503,397",321.14,"64,722","1,033,167","21,980","3,896","14,627,282",312.87,0.975
01310,ALABAMA                  ,GREENE                 ,"1,137","5,861,044",429.57,"5,203,231",381.36,"114,694","505,477","37,641","1,107","4,797,090",361.12,1.058
01320,ALABAMA                  ,HALE                   ,"2,206","10,585,158",399.86,"9,330,065",352.45,"214,445","949,495","91,150","2,137","8,355,181",325.81,0.941
01330,ALABAMA                  ,HENRY                  ,"2,230","8,126,569",303.68,"7,522,425",281.11,"28,162","563,627","12,354","2,124","7,903,706",310.10,0.953
01340,ALABAMA                  ,HOUSTON                ,"10,987","39,025,530",296.00,"36,094,844",273.77,"108,783","2,772,432","49,469","10,519","39,400,398",312.14,0.951
01350,ALABAMA                  ,JACKSON                ,"7,644","32,193,650",350.97,"29,446,964",321.02,"327,346","2,307,535","111,804","7,313","29,530,210",336.50,0.983
01360,ALABAMA                  ,JEFFERSON              ,"55,551","211,034,405",316.58,"194,614,674",291.95,"4,914,736","8,214,767","3,290,227","51,026","199,561,068",325.91,0.960
01370,ALABAMA                  ,LAMAR                  ,"2,508","10,756,759",357.41,"9,816,698",326.18,"115,269","779,896","44,895","2,449","9,924,286",337.70,1.000
01380,ALABAMA                  ,LAUDERDALE             ,"13,322","42,570,145",266.29,"39,770,154",248.77,"269,771","2,422,875","107,343","12,862","48,695,394",315.50,0.951
01390,ALABAMA                  ,LAWRENCE               ,"3,497","15,736,440",375.00,"14,430,602",343.88,"141,923","1,114,690","49,223","3,407","14,087,096",344.56,1.034
01400,ALABAMA                  ,LEE                    ,"9,554","30,008,286",261.74,"27,177,494",237.05,"210,470","2,549,626","70,695","9,027","31,522,428",291.00,0.926
01410,ALABAMA                  ,LIMESTONE              ,"7,416","27,152,562",305.11,"24,858,064",279.33,"268,956","1,939,193","86,346","7,052","31,253,056",369.32,0.984
01420,ALABAMA                  ,LOWNDES                ,858,"4,061,880",394.51,"3,470,856",337.11,"68,796","499,855","22,371",822,"3,537,685",358.65,0.973
01430,ALABAMA                  ,MACON                  ,"2,278","8,168,721",298.83,"7,354,608",269.04,"75,267","716,256","22,587","1,974","6,484,569",273.75,0.919
01440,ALABAMA                  ,MADISON                ,"35,336","123,171,059",290.48,"115,169,123",271.60,"1,460,339","6,032,237","509,359","32,512","134,373,750",344.42,0.954
01450,ALABAMA                  ,MARENGO                ,"2,373","9,718,875",341.30,"8,738,237",306.86,"133,137","786,704","60,795","2,323","8,482,876",304.31,0.950
01460,ALABAMA                  ,MARION                 ,"4,275","17,127,640",333.87,"15,869,623",309.35,"160,166","1,030,478","67,374","4,150","16,572,520",332.78,0.971
01470,ALABAMA                  ,MARSHALL               ,"12,443","53,048,273",355.28,"49,261,267",329.91,"445,308","3,156,398","185,299","11,725","51,065,435",362.94,1.010
01480,ALABAMA                  ,MOBILE                 ,"31,319","110,580,216",294.23,"103,361,633",275.02,"1,303,695","5,154,138","760,749","29,195","114,969,764",328.17,0.961
01490,ALABAMA                  ,MONROE                 ,"2,701","10,155,797",313.33,"9,504,146",293.23,"56,929","561,234","33,486","2,601","10,320,980",330.67,0.902
01500,ALABAMA                  ,MONTGOMERY             ,"18,803","72,475,244",321.20,"63,108,669",279.69,"1,031,301","7,980,141","355,131","17,228","70,886,915",342.89,0.930
01510,ALABAMA                  ,MORGAN                 ,"15,314","60,896,498",331.38,"55,844,976",303.89,"708,061","4,155,519","187,940","14,524","60,007,091",344.30,1.001
01520,ALABAMA                  ,PERRY                  ,"1,275","6,011,180",392.89,"5,087,397",332.51,"112,618","749,370","61,793","1,218","5,125,760",350.70,0.967
01530,ALABAMA                  ,PICKENS                ,"2,775","13,041,995",391.65,"11,754,171",352.98,"147,821","1,082,599","57,403","2,699","11,964,366",369.41,0.968
01540,ALABAMA                  ,PIKE                   ,"3,148","12,883,711",341.06,"11,572,610",306.35,"126,331","1,139,972","44,796","2,994","11,683,280",325.19,0.930
01550,ALABAMA                  ,RANDOLPH               ,"3,181","14,510,973",380.15,"13,451,610",352.39,"142,434","870,981","45,946","3,093","12,075,949",325.36,0.954
01560,ALABAMA                  ,RUSSELL                ,"6,210","21,725,420",291.54,"19,777,814",265.40,"195,798","1,659,366","92,440","5,942","22,444,443",314.77,1.012
01570,ALABAMA                  ,ST  CLAIR              ,"5,246","22,064,864",350.50,"20,497,469",325.60,"455,878","792,647","318,868","4,875","19,951,068",341.04,0.930
01580,ALABAMA                  ,SHELBY                 ,"8,579","32,766,351",318.28,"30,568,231",296.93,"395,404","1,587,995","214,719","7,841","33,254,877",353.43,0.898
01590,ALABAMA                  ,SUMTER                 ,"1,444","5,553,708",320.50,"5,059,121",291.96,"42,198","433,428","18,960","1,430","5,395,888",314.45,0.935
01600,ALABAMA                  ,TALLADEGA              ,"8,703","37,543,528",359.49,"33,912,644",324.72,"427,804","2,961,489","241,589","8,377","33,098,120",329.26,0.982
01610,ALABAMA                  ,TALLAPOOSA             ,"5,707","21,795,897",318.26,"19,722,175",287.98,"147,752","1,857,235","68,733","5,480","25,439,648",386.86,1.014
01620,ALABAMA                  ,TUSCALOOSA             ,"15,808","75,880,884",400.01,"66,894,180",352.64,"1,550,538","6,794,051","642,112","14,926","63,005,542",351.77,0.982
01630,ALABAMA                  ,WALKER                 ,"8,442","36,149,723",356.84,"32,522,589",321.04,"829,188","2,289,994","507,951","8,116","37,041,473",380.33,1.078
01640,ALABAMA                  ,WASHINGTON             ,"2,134","8,301,009",324.16,"7,840,790",306.19,"60,646","361,181","38,390","2,083","8,327,423",333.15,0.870
01650,ALABAMA                  ,WILCOX                 ,"1,466","5,382,516",305.96,"4,663,278",265.08,"105,842","568,221","45,174","1,426","4,702,469",274.81,0.888
01660,ALABAMA                  ,WINSTON                ,"3,473","17,334,533",415.94,"15,833,650",379.92,"244,795","1,133,978","122,109","3,342","14,557,396",362.99,1.036
02010,ALASKA                   ,ALEUTIAN ISLANDS       ,232,"564,255",202.68,"458,101",164.55,"8,693","94,836","2,624",164,"468,183",237.90,0.718
02020,ALASKA                   ,ANCHORAGE              ,"19,840","67,377,881",283.01,"58,524,677",245.82,"1,226,326","7,261,079","365,797","17,743","59,937,174",281.51,0.857
02040,ALASKA                   ,BARROW-NORTH SLOPE     ,310,"2,153,570",578.92,"1,832,532",492.62,"1,271","318,787",978,259,"1,436,227",462.11,0.820
02050,ALASKA                   ,BETHEL                 ,686,"3,246,089",394.33,"2,708,119",328.97,"4,499","531,392","2,077",581,"1,848,539",265.14,0.823
02060,ALASKA                   ,BRISTOL BAY            ,548,"1,814,441",275.92,"1,624,697",247.06,"22,045","161,028","6,670",497,"1,641,095",275.17,0.713
02070,ALASKA                   ,DILLINGHAM             ,397,"1,743,556",365.99,"1,597,575",335.34,"1,888","143,351",741,326,"1,001,480",256.00,0.814
02080,ALASKA                   ,CORDOVA-MC CARTHY      ,213,"937,591",366.82,"820,115",320.86,"11,760","103,985","1,730",194,"944,705",405.80,0.000
02090,ALASKA                   ,FAIRBANKS NORTH STAR   ,"5,362","21,593,946",335.60,"19,473,936",302.65,"195,055","1,872,863","52,091","4,951","17,601,463",296.26,0.806
02100,ALASKA                   ,HAINES                 ,328,"965,794",245.37,"851,786",216.41,"31,276","75,137","7,593",312,"1,213,557",324.13,0.812
02110,ALASKA                   ,JUNEAU                 ,"2,854","9,570,755",279.45,"8,580,340",250.54,"266,345","670,350","53,718","2,592","9,105,652",292.75,0.831
02120,ALASKA                   ,KENAI-COOK INLET       ,"5,279","21,786,298",343.91,"19,898,262",314.11,"228,934","1,601,823","57,278","4,934","19,312,758",326.18,0.831
02130,ALASKA                   ,KETCHIKAN GATEWAY      ,"1,375","6,085,052",368.79,"5,644,884",342.11,"153,571","248,775","37,821","1,278","6,072,346",395.95,0.934
02140,ALASKA                   ,KOBUK                  ,382,"2,862,632",624.48,"2,564,530",559.45,"1,668","295,381","1,051",292,"2,660,421",759.25,0.952
02150,ALASKA                   ,KODIAK ISLAND          ,513,"2,131,231",346.20,"2,007,765",326.15,"14,611","104,320","4,532",447,"1,626,784",303.28,0.799
02160,ALASKA                   ,KUSKOKWIN              ,176,"608,985",288.35,"501,234",237.33,"4,179","100,825","2,745",139,"469,124",281.25,0.000
02170,ALASKA                   ,MATANUSKA-SUSITNA      ,"5,805","23,796,330",341.61,"21,786,993",312.76,"179,307","1,783,592","46,436","5,373","18,471,145",286.48,0.888
02180,ALASKA                   ,NOME                   ,559,"2,968,182",442.48,"2,585,817",385.48,"7,590","372,426","2,348",461,"1,697,815",306.91,0.844
02190,ALASKA                   ,OUTER KETCHIKAN        ,185,"651,249",293.36,"602,501",271.40,"6,627","40,627","1,493",157,"605,800",321.55,0.887
02200,ALASKA                   ,PRINCE OF WALES        ,294,"821,900",232.96,"712,481",201.95,"21,445","82,503","5,470",269,"1,199,908",371.72,0.000
02210,ALASKA                   ,SEWARD                 ,481,"2,556,347",442.89,"2,349,110",406.98,"41,102","158,760","7,374",446,"1,388,838",259.50,0.000
02220,ALASKA                   ,SITKA                  ,887,"3,721,685",349.65,"3,426,759",321.94,"63,731","215,002","16,191",785,"4,285,609",454.95,0.956
02230,ALASKA                   ,SKAGWAY-YAKUTAT        ,430,"1,610,544",312.12,"1,428,117",276.77,"22,018","155,597","4,811",391,"1,075,204",229.16,0.800
02240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,506,"2,005,340",330.26,"1,787,997",294.47,"11,265","202,585","3,492",475,"1,681,021",294.92,0.788
02250,ALASKA                   ,UPPER YUKON            ,148,"523,151",294.57,"470,673",265.02,764,"51,590",123,131,"415,502",264.31,0.000
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER  ,712,"2,886,034",337.78,"2,629,996",307.82,"27,476","220,208","8,352",630,"2,226,643",294.53,0.791
02270,ALASKA                   ,WADE HAMPTON           ,388,"2,313,468",496.88,"1,937,169",416.06,"2,832","372,724",741,346,"1,337,624",322.16,0.899
02280,ALASKA                   ,WRANGELL-PETERSBURG    ,728,"3,786,588",433.45,"3,495,706",400.15,"96,355","176,505","18,021",692,"3,504,452",422.02,0.869
02290,ALASKA                   ,YUKON-KOYUKUK          ,447,"1,354,223",252.47,"1,179,626",219.92,"11,014","161,131","2,452",408,"1,323,129",270.25,0.743
03000,ARIZONA                  ,APACHE                 ,"6,181","24,250,769",326.95,"21,307,365",287.27,"458,655","2,324,458","160,290","5,889","20,421,637",288.98,0.901
03010,ARIZONA                  ,COCHISE                ,"15,603","60,915,930",325.34,"53,702,500",286.82,"1,983,694","4,693,200","536,534","14,576","52,579,560",300.61,0.912
03020,ARIZONA                  ,COCONINO               ,"12,077","45,718,816",315.47,"40,329,829",278.28,"403,994","4,856,016","128,976","11,408","40,623,014",296.74,0.876
03030,ARIZONA                  ,GILA                   ,"9,510","47,891,652",419.66,"42,158,329",369.42,"1,112,975","4,148,180","472,166","9,008","37,140,726",343.59,0.945
03040,ARIZONA                  ,GRAHAM                 ,"2,831","11,158,329",328.46,"9,979,797",293.77,"188,935","922,714","66,882","2,699","9,301,389",287.19,0.884
03050,ARIZONA                  ,GREENLEE               ,722,"3,179,142",366.94,"2,847,407",328.65,"58,149","254,902","18,684",692,"2,750,777",331.26,0.822
03055,ARIZONA                  ,LA PAZ                 ,"3,422","14,709,576",358.21,"13,549,607",329.96,"166,804","926,410","66,753","3,156","11,609,341",306.54,0.995
03060,ARIZONA                  ,MARICOPA               ,"227,834","831,010,031",303.95,"756,682,973",276.77,"14,524,513","52,202,305","7,600,239","206,666","870,490,569",351.01,0.924
03070,ARIZONA                  ,MOHAVE                 ,"31,713","128,328,910",337.21,"116,107,170",305.10,"2,373,272","9,093,807","754,661","30,123","113,744,584",314.67,0.949
03080,ARIZONA                  ,NAVAJO                 ,"10,766","44,488,552",344.36,"39,598,056",306.51,"697,707","3,942,270","250,518","10,273","38,181,777",309.73,0.882
03090,ARIZONA                  ,PIMA                   ,"77,884","263,842,270",282.30,"230,131,004",246.23,"7,591,312","23,422,939","2,697,012","70,549","271,482,424",320.68,0.916
03100,ARIZONA                  ,PINAL                  ,"19,376","73,476,836",316.01,"66,980,100",288.07,"914,614","5,243,894","338,226","17,734","73,571,867",345.72,0.900
03110,ARIZONA                  ,SANTA CRUZ             ,"3,124","8,234,976",219.67,"7,308,021",194.94,"178,057","678,154","70,743","2,850","8,893,859",260.05,0.790
03120,ARIZONA                  ,YAVAPAI                ,"34,584","114,331,567",275.49,"105,166,906",253.41,"1,087,926","7,642,221","434,513","32,548","114,827,666",294.00,0.902
03130,ARIZONA                  ,YUMA                   ,"18,564","69,726,120",313.00,"63,009,721",282.85,"735,650","5,752,846","227,900","17,662","63,821,549",301.12,0.995
04000,ARKANSAS                 ,ARKANSAS               ,"2,936","11,668,165",331.18,"10,582,351",300.36,"86,192","956,498","43,121","2,757","11,535,423",348.67,0.967
04010,ARKANSAS                 ,ASHLEY                 ,"3,198","14,349,800",373.93,"13,374,968",348.52,"124,921","796,290","53,620","3,083","12,498,317",337.83,0.931
04020,ARKANSAS                 ,BAXTER                 ,"9,155","30,920,912",281.46,"29,141,808",265.26,"271,539","1,422,825","84,739","8,879","31,135,140",292.22,0.977
04030,ARKANSAS                 ,BENTON                 ,"18,293","73,367,040",334.22,"68,632,858",312.66,"736,328","3,759,167","238,686","17,092","59,089,984",288.10,0.928
04040,ARKANSAS                 ,BOONE                  ,"5,853","19,471,822",277.23,"17,869,107",254.42,"120,452","1,436,827","45,434","5,574","18,845,174",281.74,0.922
04050,ARKANSAS                 ,BRADLEY                ,"1,779","9,373,533",439.08,"8,839,509",414.07,"83,494","408,751","41,778","1,727","8,659,185",417.83,0.999
04060,ARKANSAS                 ,CALHOUN                ,693,"3,098,966",372.65,"2,850,110",342.73,"42,657","186,515","19,683",668,"2,739,923",341.81,0.943
04070,ARKANSAS                 ,CARROLL                ,"3,612","10,075,144",232.45,"9,538,978",220.08,"125,120","376,421","34,624","3,391","10,476,746",257.46,0.866
04080,ARKANSAS                 ,CHICOT                 ,"2,007","10,306,771",427.95,"9,355,608",388.46,"88,375","819,547","43,238","1,910","7,507,073",327.53,0.952
04090,ARKANSAS                 ,CLARK                  ,"2,977","10,587,640",296.37,"9,942,128",278.30,"109,276","504,841","31,393","2,837","9,816,996",288.36,0.922
04100,ARKANSAS                 ,CLAY                   ,"2,843","12,279,463",359.93,"11,201,626",328.34,"113,247","923,072","41,517","2,727","10,319,639",315.35,0.932
04110,ARKANSAS                 ,CLEBURNE               ,"5,111","18,307,322",298.50,"16,959,682",276.52,"124,742","1,169,119","53,776","4,950","18,525,716",311.88,0.923
04120,ARKANSAS                 ,CLEVELAND              ,"1,169","4,858,766",346.36,"4,340,786",309.44,"80,018","385,922","52,039","1,124","4,412,236",327.12,0.910
04130,ARKANSAS                 ,COLUMBIA               ,"3,496","15,077,943",359.41,"14,011,807",334.00,"78,344","955,321","32,469","3,380","12,655,275",312.01,0.957
04140,ARKANSAS                 ,CONWAY                 ,"3,065","9,700,922",263.76,"9,007,907",244.91,"84,571","564,389","44,054","2,934","9,891,099",280.93,0.928
04150,ARKANSAS                 ,CRAIGHEAD              ,"10,276","42,198,670",342.21,"38,135,149",309.26,"437,595","3,442,948","182,975","9,781","33,864,358",288.52,0.939
04160,ARKANSAS                 ,CRAWFORD               ,"5,432","22,441,227",344.28,"20,559,867",315.41,"238,983","1,586,323","56,053","5,051","18,873,807",311.39,0.937
04170,ARKANSAS                 ,CRITTENDEN             ,"4,483","21,780,479",404.87,"18,114,846",336.73,"664,400","2,710,068","291,163","4,181","15,133,276",301.63,0.995
04180,ARKANSAS                 ,CROSS                  ,"2,255","8,329,183",307.80,"7,567,285",279.65,"125,503","586,693","49,701","2,171","7,789,537",299.00,0.922
04190,ARKANSAS                 ,DALLAS                 ,"1,174","4,261,699",302.51,"3,961,244",281.18,"47,873","232,414","20,166","1,138","4,468,225",327.20,0.963
04200,ARKANSAS                 ,DESHA                  ,"1,820","10,108,436",462.84,"9,361,624",428.65,"137,910","545,272","63,629","1,733","7,666,321",368.64,0.970
04210,ARKANSAS                 ,DREW                   ,"2,200","10,796,380",408.95,"9,862,704",373.59,"98,955","787,396","47,323","2,113","8,726,278",344.15,0.973
04220,ARKANSAS                 ,FAULKNER               ,"10,119","32,768,501",269.86,"30,255,036",249.16,"271,433","2,100,475","141,556","9,568","35,286,968",307.33,0.898
04230,ARKANSAS                 ,FRANKLIN               ,"2,179","8,035,652",307.31,"7,541,622",288.42,"45,719","430,995","17,315","2,074","7,258,348",291.64,0.917
04240,ARKANSAS                 ,FULTON                 ,"2,039","7,614,121",311.19,"7,159,928",292.62,"32,497","410,576","11,119","1,962","7,832,290",332.67,0.974
04250,ARKANSAS                 ,GARLAND                ,"20,338","76,955,305",315.32,"71,985,623",294.96,"484,870","4,286,483","198,327","19,544","76,414,824",325.82,0.966
04260,ARKANSAS                 ,GRANT                  ,"2,108","9,418,810",372.34,"8,607,384",340.27,"105,729","651,672","54,024","2,001","7,938,949",330.62,0.972
04270,ARKANSAS                 ,GREENE                 ,"4,880","24,573,653",419.63,"22,096,982",377.34,"191,737","2,205,996","78,938","4,686","16,225,337",288.54,0.966
04280,ARKANSAS                 ,HEMPSTEAD              ,"2,550","12,452,138",406.93,"11,638,581",380.35,"77,629","697,909","38,016","2,434","8,951,937",306.49,0.983
04290,ARKANSAS                 ,HOT SPRING             ,"4,249","19,186,992",376.30,"18,123,545",355.45,"94,838","930,195","38,411","4,098","15,324,917",311.63,0.959
04300,ARKANSAS                 ,HOWARD                 ,"2,000","8,778,850",365.79,"8,291,873",345.49,"57,902","405,203","23,870","1,900","7,848,667",344.24,0.939
04310,ARKANSAS                 ,INDEPENDENCE           ,"5,213","24,909,255",398.19,"22,299,705",356.48,"161,461","2,379,121","68,967","4,983","20,199,189",337.80,0.976
04320,ARKANSAS                 ,IZARD                  ,"2,378","8,747,928",306.56,"8,134,465",285.06,"59,032","531,189","23,240","2,272","8,695,455",318.94,0.934
04330,ARKANSAS                 ,JACKSON                ,"2,819","15,008,629",443.67,"13,653,161",403.61,"127,597","1,164,153","63,716","2,714","10,408,567",319.59,1.059
04340,ARKANSAS                 ,JEFFERSON              ,"8,321","32,178,892",322.27,"27,467,866",275.09,"805,395","3,418,778","486,852","7,717","25,862,023",279.28,0.956
04350,ARKANSAS                 ,JOHNSON                ,"2,768","8,791,796",264.69,"7,933,967",238.86,"42,793","798,118","16,916","2,597","7,616,851",244.41,0.903
04360,ARKANSAS                 ,LAFAYETTE              ,"1,080","6,498,362",501.42,"5,929,869",457.55,"98,181","439,955","30,355","1,037","4,237,092",340.49,0.967
04370,ARKANSAS                 ,LAWRENCE               ,"2,996","13,195,603",367.03,"11,913,469",331.37,"177,234","1,049,731","55,168","2,898","10,428,900",299.89,0.953
04380,ARKANSAS                 ,LEE                    ,"1,030","4,457,774",360.66,"3,981,072",322.09,"73,576","372,985","30,139",957,"3,734,314",325.18,0.988
04390,ARKANSAS                 ,LINCOLN                ,"1,325","6,068,017",381.64,"5,244,276",329.83,"132,739","612,678","78,322","1,235","4,824,940",325.57,1.021
04400,ARKANSAS                 ,LITTLE RIVER           ,"1,962","10,171,414",432.02,"9,597,694",407.65,"78,264","460,060","35,394","1,874","8,779,640",390.41,1.046
04410,ARKANSAS                 ,LOGAN                  ,"3,022","10,272,459",283.27,"9,613,554",265.10,"91,546","550,819","16,538","2,909","9,792,372",280.52,0.907
04420,ARKANSAS                 ,LONOKE                 ,"6,462","27,410,135",353.48,"25,135,860",324.15,"319,407","1,826,870","127,996","6,100","23,340,122",318.85,0.949
04430,ARKANSAS                 ,MADISON                ,"2,134","6,132,221",239.47,"5,658,282",220.96,"110,718","327,922","35,298","1,929","5,761,478",248.90,0.864
04440,ARKANSAS                 ,MARION                 ,"2,662","9,926,656",310.75,"9,322,810",291.85,"78,239","495,269","30,337","2,547","8,900,727",291.22,0.926
04450,ARKANSAS                 ,MILLER                 ,"4,988","22,764,708",380.32,"20,983,585",350.57,"208,526","1,485,593","87,002","4,709","17,567,999",310.89,1.002
04460,ARKANSAS                 ,MISSISSIPPI            ,"4,916","19,672,297",333.47,"17,756,038",300.99,"247,976","1,583,966","84,313","4,714","17,216,086",304.34,0.977
04470,ARKANSAS                 ,MONROE                 ,"1,347","5,689,282",351.97,"5,109,141",316.08,"53,219","499,662","27,259","1,295","4,940,180",317.90,1.010
04480,ARKANSAS                 ,MONTGOMERY             ,"1,584","6,078,378",319.78,"5,748,934",302.45,"18,516","302,724","8,203","1,507","5,206,258",287.89,0.893
04490,ARKANSAS                 ,NEVADA                 ,"1,295","5,638,779",362.86,"5,290,781",340.46,"28,835","308,138","11,024","1,250","4,455,279",297.02,0.998
04500,ARKANSAS                 ,NEWTON                 ,"1,129","3,066,975",226.38,"2,773,497",204.72,"32,676","251,957","8,844","1,085","3,444,257",264.54,0.856
04510,ARKANSAS                 ,OUACHITA               ,"3,727","13,676,168",305.79,"12,545,517",280.51,"113,743","962,636","54,270","3,581","12,001,650",279.29,0.963
04520,ARKANSAS                 ,PERRY                  ,"1,403","5,262,426",312.57,"4,859,244",288.62,"43,302","339,311","20,566","1,315","4,394,935",278.51,0.965
04530,ARKANSAS                 ,PHILLIPS               ,"2,649","11,599,048",364.89,"10,331,639",325.02,"143,756","1,061,742","61,909","2,501","8,659,942",288.55,0.958
04540,ARKANSAS                 ,PIKE                   ,"1,779","7,775,745",364.24,"7,413,121",347.25,"31,960","319,925","10,737","1,714","5,649,820",274.69,0.939
04550,ARKANSAS                 ,POINSETT               ,"3,341","15,065,499",375.77,"13,527,510",337.41,"189,942","1,276,275","71,770","3,218","11,696,352",302.89,1.002
04560,ARKANSAS                 ,POLK                   ,"3,561","12,261,166",286.93,"11,521,744",269.63,"66,692","640,560","32,168","3,400","11,571,347",283.61,0.928
04570,ARKANSAS                 ,POPE                   ,"6,586","24,308,084",307.57,"21,908,505",277.21,"213,285","2,114,396","71,896","6,309","20,302,605",268.17,0.903
04580,ARKANSAS                 ,PRAIRIE                ,"1,379","6,797,448",410.77,"6,274,769",379.19,"36,282","465,931","20,466","1,330","4,969,462",311.37,1.002
